result_type,identifier,value
nonpositive_forward_transfer,A14-g2-long_horizon_recurrence-adversarial,0.0
nonpositive_forward_transfer,A14-g3-corruption_composition_leave_out-adversarial,0.0
nonpositive_forward_transfer,A14-g3-corruption_composition_leave_out-surface,-0.06390923659673664
nonpositive_forward_transfer,A14-g3-corruption_family_leave_out-adversarial,0.0
nonpositive_forward_transfer,A14-g3-domain_leave_out-adversarial,0.0
nonpositive_forward_transfer,A14-g3-long_horizon_recurrence-adversarial,0.0
nonpositive_forward_transfer,A14-g3-policy_semantic_transfer-adversarial,0.0
nonpositive_forward_transfer,A15-g1-corruption_composition_leave_out-adversarial,0.0
nonpositive_forward_transfer,A15-g1-corruption_composition_leave_out-structural,0.0
nonpositive_forward_transfer,A15-g1-corruption_composition_leave_out-surface,0.0
nonpositive_forward_transfer,A15-g1-corruption_family_leave_out-adversarial,0.0
nonpositive_forward_transfer,A15-g1-corruption_family_leave_out-structural,0.0
nonpositive_forward_transfer,A15-g1-corruption_family_leave_out-surface,0.0
nonpositive_forward_transfer,A15-g1-domain_leave_out-adversarial,0.0
nonpositive_forward_transfer,A15-g1-domain_leave_out-structural,0.0
nonpositive_forward_transfer,A15-g1-domain_leave_out-surface,0.0
nonpositive_forward_transfer,A15-g1-generator_leave_out-adversarial,0.0
nonpositive_forward_transfer,A15-g1-generator_leave_out-structural,0.0
nonpositive_forward_transfer,A15-g1-generator_leave_out-surface,0.0
nonpositive_forward_transfer,A15-g1-long_horizon_recurrence-adversarial,0.0
nonpositive_forward_transfer,A15-g1-long_horizon_recurrence-structural,0.0
nonpositive_forward_transfer,A15-g1-long_horizon_recurrence-surface,0.0
nonpositive_forward_transfer,A15-g1-policy_semantic_transfer-adversarial,0.0
nonpositive_forward_transfer,A15-g1-policy_semantic_transfer-structural,0.0
nonpositive_forward_transfer,A15-g1-policy_semantic_transfer-surface,0.0
nonpositive_forward_transfer,A15-g2-corruption_composition_leave_out-adversarial,0.0
nonpositive_forward_transfer,A15-g2-corruption_family_leave_out-surface,-0.03251193210902825
nonpositive_forward_transfer,A15-g2-domain_leave_out-structural,-0.007062114356231941
nonpositive_forward_transfer,A15-g2-long_horizon_recurrence-adversarial,0.0
nonpositive_forward_transfer,A15-g2-policy_semantic_transfer-adversarial,0.0
nonpositive_forward_transfer,A15-g2-policy_semantic_transfer-surface,-0.01176271641422677
nonpositive_forward_transfer,A15-g3-corruption_composition_leave_out-adversarial,0.0
nonpositive_forward_transfer,A15-g3-corruption_composition_leave_out-surface,-0.04657941595441595
nonpositive_forward_transfer,A15-g3-corruption_family_leave_out-adversarial,0.0
nonpositive_forward_transfer,A15-g3-domain_leave_out-adversarial,0.0
nonpositive_forward_transfer,A15-g3-generator_leave_out-adversarial,0.0
nonpositive_forward_transfer,A15-g3-policy_semantic_transfer-adversarial,0.0
nonpositive_forward_transfer,A16-g1-corruption_composition_leave_out-adversarial,0.0
nonpositive_forward_transfer,A16-g1-corruption_composition_leave_out-structural,0.0
nonpositive_forward_transfer,A16-g1-corruption_composition_leave_out-surface,0.0
nonpositive_forward_transfer,A16-g1-corruption_family_leave_out-adversarial,0.0
nonpositive_forward_transfer,A16-g1-corruption_family_leave_out-structural,0.0
nonpositive_forward_transfer,A16-g1-corruption_family_leave_out-surface,0.0
nonpositive_forward_transfer,A16-g1-domain_leave_out-adversarial,0.0
nonpositive_forward_transfer,A16-g1-domain_leave_out-structural,0.0
nonpositive_forward_transfer,A16-g1-domain_leave_out-surface,0.0
nonpositive_forward_transfer,A16-g1-generator_leave_out-adversarial,0.0
nonpositive_forward_transfer,A16-g1-generator_leave_out-structural,0.0
nonpositive_forward_transfer,A16-g1-generator_leave_out-surface,0.0
nonpositive_forward_transfer,A16-g1-long_horizon_recurrence-adversarial,0.0
nonpositive_forward_transfer,A16-g1-long_horizon_recurrence-structural,0.0
nonpositive_forward_transfer,A16-g1-long_horizon_recurrence-surface,0.0
nonpositive_forward_transfer,A16-g1-policy_semantic_transfer-adversarial,0.0
nonpositive_forward_transfer,A16-g1-policy_semantic_transfer-structural,0.0
nonpositive_forward_transfer,A16-g1-policy_semantic_transfer-surface,0.0
nonpositive_forward_transfer,A16-g2-corruption_composition_leave_out-adversarial,0.0
nonpositive_forward_transfer,A16-g2-corruption_composition_leave_out-structural,-0.0825491372822289
